indicatore,codice,livello,territorio,anno,valore,unita,fonte,archivio
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2004,2.2,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2005,1.7,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2006,2.1,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2007,1.5,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2008,1.1,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2009,1.1,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2010,0.7,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2011,0.8,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2012,0.7,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2013,0.5,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2014,0.9,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2015,0.6,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2016,0.5,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2017,0.6,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2018,0.7,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2019,0.5,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2020,0.5,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2021,0.9,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2022,0.4,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Abruzzo,2023,0.6,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
