family_key;source;indicator_id;dimension;value;added_by;added_at;note
adulti_che_partecipano_all_apprendimento_permanente;territorial;198;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Adulti che partecipano all'apprendimento permanente
adulti_che_partecipano_all_apprendimento_permanente;territorial;197;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Adulti che partecipano all'apprendimento permanente
adulti_che_partecipano_all_apprendimento_permanente;territorial;99;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Adulti che partecipano all'apprendimento permanente
diffusione_della_pratica_sportiva;territorial;206;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Diffusione della pratica sportiva
diffusione_della_pratica_sportiva;territorial;205;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Diffusione della pratica sportiva
diffusione_della_pratica_sportiva;territorial;125;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Diffusione della pratica sportiva
giovani_che_abbandonano_prematuramente_i_percorsi_di_istruzione_e_formazione_professionale;territorial;200;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Giovani che abbandonano prematuramente i percorsi di istruzione e formazione professionale
giovani_che_abbandonano_prematuramente_i_percorsi_di_istruzione_e_formazione_professionale;territorial;199;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Giovani che abbandonano prematuramente i percorsi di istruzione e formazione professionale
giovani_che_abbandonano_prematuramente_i_percorsi_di_istruzione_e_formazione_professionale;territorial;102;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Giovani che abbandonano prematuramente i percorsi di istruzione e formazione professionale
grado_di_soddisfazione_del_servizio_di_trasporto_ferroviario_a_livello_regionale;territorial;210;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Grado di soddisfazione del servizio di trasporto ferroviario a livello regionale
grado_di_soddisfazione_del_servizio_di_trasporto_ferroviario_a_livello_regionale;territorial;209;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Grado di soddisfazione del servizio di trasporto ferroviario a livello regionale
grado_di_soddisfazione_del_servizio_di_trasporto_ferroviario_a_livello_regionale;territorial;172;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Grado di soddisfazione del servizio di trasporto ferroviario a livello regionale
incidenza_della_disoccupazione_di_lunga_durata;territorial;180;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Incidenza della disoccupazione di lunga durata
incidenza_della_disoccupazione_di_lunga_durata;territorial;179;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Incidenza della disoccupazione di lunga durata
incidenza_della_disoccupazione_di_lunga_durata;territorial;16;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Incidenza della disoccupazione di lunga durata
indice_di_utilizzazione_del_trasporto_ferroviario_1;territorial;212;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Indice di utilizzazione del trasporto ferroviario (1)
indice_di_utilizzazione_del_trasporto_ferroviario_1;territorial;211;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Indice di utilizzazione del trasporto ferroviario (1)
indice_di_utilizzazione_del_trasporto_ferroviario_1;territorial;46;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Indice di utilizzazione del trasporto ferroviario (1)
laureati_in_scienza_e_tecnologia;territorial;196;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Laureati in scienza e tecnologia
laureati_in_scienza_e_tecnologia;territorial;194;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Laureati in scienza e tecnologia
laureati_in_scienza_e_tecnologia;territorial;90;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Laureati in scienza e tecnologia
livello_di_istruzione_della_popolazione_15_19_anni;territorial;190;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Livello di istruzione della popolazione 15-19 anni
livello_di_istruzione_della_popolazione_15_19_anni;territorial;189;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Livello di istruzione della popolazione 15-19 anni
livello_di_istruzione_della_popolazione_15_19_anni;territorial;77;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Livello di istruzione della popolazione 15-19 anni
