territory,year,value
Italia,2004,1.8
Italia,2005,1.7
Italia,2006,1.6
Italia,2007,1.5
Italia,2008,1.3
Italia,2009,1.1
Italia,2010,1.0
Italia,2011,0.9
Italia,2012,0.8
Italia,2013,0.7
Italia,2014,0.7
Italia,2015,0.7
Italia,2016,0.7
Italia,2017,0.7
Italia,2018,0.7
Italia,2019,0.7
Italia,2020,0.5
Italia,2021,0.6
Italia,2022,0.7
Italia,2023,0.6
Italia,2024,0.6
Nord,2004,2.0
Nord,2005,1.9
Nord,2006,1.7
Nord,2007,1.6
Nord,2008,1.4
Nord,2009,1.1
Nord,2010,1.1
Nord,2011,0.9
Nord,2012,0.9
Nord,2013,0.8
Nord,2014,0.6
Nord,2015,0.7
Nord,2016,0.7
Nord,2017,0.6
Nord,2018,0.7
Nord,2019,0.7
Nord,2020,0.5
Nord,2021,0.6
Nord,2022,0.7
Nord,2023,0.6
Nord,2024,0.5
Centro,2004,2.0
Centro,2005,1.9
Centro,2006,1.8
Centro,2007,1.9
Centro,2008,1.4
Centro,2009,1.3
Centro,2010,1.3
Centro,2011,1.1
Centro,2012,0.9
Centro,2013,0.7
Centro,2014,0.8
Centro,2015,0.8
Centro,2016,0.7
Centro,2017,0.8
Centro,2018,0.7
Centro,2019,0.6
Centro,2020,0.5
Centro,2021,0.6
Centro,2022,0.6
Centro,2023,0.6
Centro,2024,0.6
Mezzogiorno,2004,1.4
Mezzogiorno,2005,1.4
Mezzogiorno,2006,1.4
Mezzogiorno,2007,1.2
Mezzogiorno,2008,1.2
Mezzogiorno,2009,1.0
Mezzogiorno,2010,0.9
Mezzogiorno,2011,0.8
Mezzogiorno,2012,0.7
Mezzogiorno,2013,0.7
Mezzogiorno,2014,0.7
Mezzogiorno,2015,0.6
Mezzogiorno,2016,0.7
Mezzogiorno,2017,0.6
Mezzogiorno,2018,0.7
Mezzogiorno,2019,0.7
Mezzogiorno,2020,0.5
Mezzogiorno,2021,0.7
Mezzogiorno,2022,0.7
Mezzogiorno,2023,0.6
Mezzogiorno,2024,0.8
