candidate_id;discovered_at;discovery_mode;source;source_dataset;source_indicator_id;name;territory_level;year_max;coverage;unit;proposed_theme;proposed_quality_life_category;proposed_direction;definition_match;duplicate_of;freshness_status;priority_score;source_url;license;triage_status;triage_notes
istat_demografia:DEPENDRATE;2025-12-31;watchlist;istat_demografia;22_293_DF_DCIS_INDDEMOG1_1;DEPENDRATE;Indice di dipendenza strutturale (Istat, regioni);regione;2025;1.0;%;Indicatori demografici (Istat);salute_cura;contextual;new;;current;1.0;https://esploradati.istat.it/databrowser/#/it;CC BY 4.0 (Istat);rejected;Respinto, e chiude il rimando del 2025-12-31. Duplica dem:OLDAGEDEPR, gia in catalogo, senza aggiungere freschezza: stesso dataflow 22_293_DF_DCIS_INDDEMOG1_1, stesso anno 2025, stessa copertura 20 su 20, stessa serie 2015-2025. Sull'anno 2025 le due correlano 0,95 (Pearson) e 0,94 per rango, in cima Liguria (65,3 qui, 48,3 la) e in fondo Campania (53,0 e 32,7), e nessuna regione si sposta piu di cinque posizioni, il massimo e la Sardegna decima qui e quinta la. La differenza fra le due, cioe la dipendenza giovanile implicita, va da 15,5 (Sardegna) a 21,8 (Trentino Alto Adige), 6,3 punti di escursione contro i 15,6 della componente anziana, quindi la somma ripete la classifica del suo addendo maggiore. Sarebbe additiva la sola dipendenza giovanile, che Istat non pubblica come codice a se: la codelist CL_TIPO_DATO15, letta il 2026-07-27, ha DEPENDRATE, OLDAGEDEPR e AGEINDEX e nessun indice di dipendenza dei giovani. Altri vicini in catalogo, 921 Indice di vecchiaia e 920 Eta media, entrambi con dati fino al 2026.
istat_demografia:OLDAGEDEPR;2025-12-31;watchlist;istat_demografia;22_293_DF_DCIS_INDDEMOG1_1;OLDAGEDEPR;Indice di dipendenza strutturale degli anziani (Istat, regioni);regione;2025;1.0;%;Indicatori demografici (Istat);salute_cura;contextual;new;;current;1.0;https://esploradati.istat.it/databrowser/#/it;CC BY 4.0 (Istat);promoted;Serie nuova e non duplicata. Il catalogo ha 921 Indice di vecchiaia, che pero rapporta gli over 65 agli under 15: denominatore diverso, indicatore diverso. Regionale, copertura 20 su 20, serie 2015-2025 di soli valori definitivi (le stime 2026 sono escluse dall'adapter). Verso contextual corretto, un rapporto di dipendenza non ha un migliore.
istat_demografia:POP014;2025-12-31;watchlist;istat_demografia;22_293_DF_DCIS_INDDEMOG1_1;POP014;Quota di popolazione 0-14 anni (Istat, regioni);regione;2025;1.0;%;Indicatori demografici (Istat);salute_cura;contextual;new;;current;1.0;https://esploradati.istat.it/databrowser/#/it;CC BY 4.0 (Istat);promoted;APPROVED. Nuovo, nessun duplicato: completa con POP1564 e POP65OVER (gia' integrata) la struttura per eta' che il catalogo non aveva come quote semplici. Dato 2025 finale, copertura 20/20. Contextual, stessa ragione di POP65OVER: in cima Trentino Alto Adige (13,9%), Campania (13,3%), Sicilia (12,9%), in fondo Sardegna (9,7%) e Liguria (10,3%). Un valore alto riflette fecondita' e struttura, non un vantaggio.
istat_demografia:POP1564;2025-12-31;watchlist;istat_demografia;22_293_DF_DCIS_INDDEMOG1_1;POP1564;Quota di popolazione 15-64 anni (Istat, regioni);regione;2025;1.0;%;Indicatori demografici (Istat);salute_cura;contextual;new;;current;1.0;https://esploradati.istat.it/databrowser/#/it;CC BY 4.0 (Istat);promoted;APPROVED. Nuovo. Quota di popolazione in eta' lavorativa: completa il trio di struttura con POP014 e POP65OVER. Dato 2025 finale, copertura 20/20. Contextual: dipende da quanto pesano le altre due fasce, non da un merito proprio. In cima Campania (65,4%), Lazio (64,3%), in fondo Liguria (60,5%), Umbria (61,5%): specchio delle altre due quote.
istat_demografia:POP65OVER;2025-12-31;watchlist;istat_demografia;22_293_DF_DCIS_INDDEMOG1_1;POP65OVER;Quota di popolazione 65 anni e più (Istat, regioni);regione;2025;1.0;%;Indicatori demografici (Istat);salute_cura;contextual;new;;current;1.0;https://esploradati.istat.it/databrowser/#/it;CC BY 4.0 (Istat);promoted;APPROVED. Nuovo, nessun duplicato: il catalogo ha eta' media (920) e indice di vecchiaia (921, rapporto 65+/0-14), non la quota semplice di popolazione 65 anni e piu'. Dato 2025 finale, copertura 20/20. Direzione contextual, stessa ragione di BIRTHRATE e OLDAGEDEPR: in cima Liguria (29,2%), Friuli-Venezia Giulia e Sardegna (27,5%), in fondo Campania (21,4%) e Trentino Alto Adige (22,6%). Un valore alto riflette struttura per eta', non un vantaggio o uno svantaggio da solo (la Liguria e il Trentino Alto Adige sono agli estremi opposti pur essendo entrambe fra le regioni con la speranza di vita piu' alta). Resta fuori dal punteggio qualita' della vita, entra in atlante e quiz.
eurostat_regional:rd_e_gerdreg;2026-03-18T23:00:00+0100;watchlist;eurostat_regional;rd_e_gerdreg;rd_e_gerdreg;Spesa in ricerca e sviluppo sul PIL (Eurostat, NUTS2);regione;2023;1.0;% del PIL;Ricerca e sviluppo (Eurostat);ricerca_innovazione_digitale;higher_better;new;;recent;0.88;https://ec.europa.eu/eurostat/databrowser/view/rd_e_gerdreg/default/table?lang=en;CC BY 4.0 (Eurostat);promoted;Pilota fase 2: promosso nel layer esterno.
eurostat_regional:rd_p_persreg;2026-03-18T23:00:00+0100;watchlist;eurostat_regional;rd_p_persreg;rd_p_persreg;Personale addetto a ricerca e sviluppo (Eurostat, NUTS2);regione;2023;1.0;% della popolazione attiva;Ricerca e sviluppo (Eurostat);ricerca_innovazione_digitale;higher_better;new;;recent;0.88;https://ec.europa.eu/eurostat/databrowser/view/rd_p_persreg/default/table?lang=en;CC BY 4.0 (Eurostat);promoted;Test end-to-end: nuovo indicatore regionale fresco (2023, 20/20), tema R&S complementare alla spesa gia integrata, verso direzionale. Approvato per promozione.
istat_demografia:BIRTHRATE;2024-12-31;watchlist;istat_demografia;22_293_DF_DCIS_INDDEMOG1_1;BIRTHRATE;Tasso di natalità (Istat, regioni);regione;2024;1.0;per mille abitanti;Indicatori demografici (Istat);salute_cura;contextual;new;;recent;0.88;https://esploradati.istat.it/databrowser/#/it;CC BY 4.0 (Istat);promoted;Serie nuova e additiva, il catalogo non ha il tasso di natalita della popolazione, solo la natalita delle imprese, id 54 e 396. Regionale, copertura 20 su 20, serie 2015-2024. In cima convivono Trentino Alto Adige 7,6 e Campania 7,4, in fondo Sardegna 4,5 e Valle d'Aosta 5,2, quindi il verso proposto contextual e probabilmente corretto, piu alto non e meglio. Il curatore verifichi contro la classifica vera. Approvato per promozione.
istat_demografia:GROWTHRATEN;2024-12-31;watchlist;istat_demografia;22_293_DF_DCIS_INDDEMOG1_1;GROWTHRATEN;Crescita naturale della popolazione (Istat, regioni);regione;2024;1.0;per mille abitanti;Indicatori demografici (Istat);salute_cura;contextual;new;;recent;0.88;https://esploradati.istat.it/databrowser/#/it;CC BY 4.0 (Istat);promoted;APPROVED. Nuovo. Somma di natalita' e mortalita', entrambe gia' contextual in catalogo (BIRTHRATE, e implicitamente il tasso di mortalita' non pubblicato): la composizione eredita la stessa assenza di verso. Dato 2024 finale, copertura 20/20, tutte le regioni in territorio negativo (la popolazione italiana cala per natura ovunque).
istat_demografia:MARRATE;2024-12-31;watchlist;istat_demografia;22_293_DF_DCIS_INDDEMOG1_1;MARRATE;Tasso di nuzialità (Istat, regioni);regione;2024;1.0;per mille abitanti;Indicatori demografici (Istat);salute_cura;contextual;new;;recent;0.88;https://esploradati.istat.it/databrowser/#/it;CC BY 4.0 (Istat);promoted;APPROVED. Nuovo. Dato 2024 finale, copertura 20/20. Contextual, fenomeno culturale e demografico: in cima Trentino Alto Adige (3,5), Campania e Sicilia (3,4), in fondo Sardegna (2,5), nessun ordine economico riconoscibile.
