DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2015,60,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2016,60.4,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2017,60.8,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2018,61,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2019,61.2,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2020,61.5,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2021,61.6,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2022,61.7,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2023,61.5,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2024,61.5,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2025,61.5,,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,DEPENDRATE,2026,61.6,e,,,TIPO_DATO15__DEPENDRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,DEPENDRATE,2015,57.4,,,,TIPO_DATO15__DEPENDRATE_N1,,,
