DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2015,-2.7,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2016,-2.4,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2017,-3.2,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2018,-3.2,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2019,-3.6,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2020,-5.6,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2021,-5.1,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2022,-5.5,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2023,-4.9,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2024,-4.8,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATEN,2025,-5,p,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2015,-0.5,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2016,-0.3,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2017,-1.1,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2018,-1.8,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2019,-1.9,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2020,-5,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2021,-3.2,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2022,-3.7,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2023,-3.2,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2024,-3.4,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATEN,2025,-3.9,p,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATEN,2015,-4.7,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATEN,2016,-4.1,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATEN,2017,-6.5,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATEN,2018,-4.9,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATEN,2019,-6,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATEN,2020,-6.8,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
