DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2015,-2.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2016,-1.6,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2017,-2.1,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2018,-2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2019,-2.9,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2020,-6.7,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2021,-3.5,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2022,-0.6,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2023,-0.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2024,-0.5,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,GROWTHRATET,2025,0,p,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2015,1.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2016,2.5,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2017,2.8,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2018,2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2019,3.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2020,0,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2021,0.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2022,3.7,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2023,3.6,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2024,2.9,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,GROWTHRATET,2025,4.6,p,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2015,-5.6,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2016,-4.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2017,-3.6,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2018,-4.1,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2019,-5.5,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2020,-11.8,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2021,-8.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2022,-2.8,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2023,-2.9,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2024,-2.3,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATET,2025,-1.1,p,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2015,-3.9,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2016,-4.1,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2017,-5.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2018,-5,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2019,-4.6,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2020,-9.8,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2021,-1.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2022,-2.9,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2023,-4.1,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2024,-2.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATET,2025,-3.1,p,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2015,-7.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2016,-6.9,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2017,-7.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2018,-9.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2019,-10.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2020,-17.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2021,-3.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2022,-8.8,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2023,-7.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2024,-6.8,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATET,2025,-7.3,p,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2015,-1.8,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2016,-0.5,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2017,-0.9,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2018,-0.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2019,-0.7,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2020,-5.6,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2021,-4.3,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2022,1.7,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2023,2.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2024,1.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC,GROWTHRATET,2025,2.3,p,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2015,-4.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2016,-3.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2017,-4.7,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2018,-4.9,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2019,-4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2020,-8.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2021,-4.4,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2022,-1.2,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2023,0,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2024,0.1,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,GROWTHRATET,2025,0.7,p,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC11,GROWTHRATET,2015,-3.3,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC11,GROWTHRATET,2016,-2.7,,,,TIPO_DATO15__GROWTHRATET_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC11,GROWTHRATET,2017,-5.6,,,,TIPO_DATO15__GROWTHRATET_N1,,,
