DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2015,3.2,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2016,3.4,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2017,3.2,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2018,3.3,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2019,3.1,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2020,1.6,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2021,3.1,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2022,3.2,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2023,3.1,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2024,2.9,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,MARRATE,2025,2.8,p,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2015,2.7,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2016,2.7,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2017,2.4,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2018,2.5,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2019,2.4,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2020,1.5,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2021,2.5,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2022,2.6,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2023,2.5,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2024,2.4,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT108,MARRATE,2025,2.5,p,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2015,3,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2016,3,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2017,2.6,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2018,2.8,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2019,2.9,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2020,1.3,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2021,2.4,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2022,2.8,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2023,2.7,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2024,2.4,,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,MARRATE,2025,2.3,p,,,TIPO_DATO15__MARRATE_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,MARRATE,2015,3.8,,,,TIPO_DATO15__MARRATE_N1,,,
