DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2015,0.5,,,,TIPO_DATO15__NMIGRATEAB_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2016,0.7,,,,TIPO_DATO15__NMIGRATEAB_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2017,1,,,,TIPO_DATO15__NMIGRATEAB_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2018,1.2,,,,TIPO_DATO15__NMIGRATEAB_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2019,2.6,,,,TIPO_DATO15__NMIGRATEAB_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2020,1.5,,,,TIPO_DATO15__NMIGRATEAB_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2021,2.7,,,,TIPO_DATO15__NMIGRATEAB_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2022,4.4,,,,TIPO_DATO15__NMIGRATEAB_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2023,4.8,,,,TIPO_DATO15__NMIGRATEAB_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2024,4.5,,,,TIPO_DATO15__NMIGRATEAB_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT,NMIGRATEAB,2025,5,p,,,TIPO_DATO15__NMIGRATEAB_N1,,,
