DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2015,39.4,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2016,39.9,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2017,40.4,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2018,40.8,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2019,41.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2020,41.8,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2021,42.1,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2022,42.4,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2023,42.6,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2024,43,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2025,43.4,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC1,OLDAGEDEPR,2026,43.9,e,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2015,35.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2016,36.1,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2017,36.7,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2018,37.2,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2019,37.8,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2020,38.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2021,38.8,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2022,39.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2023,39.7,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2024,40.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2025,41.1,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC2,OLDAGEDEPR,2026,41.9,e,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2015,46.7,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2016,47.1,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2017,47.2,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2018,47.2,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2019,47.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2020,47.7,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2021,47.6,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2022,47.8,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2023,47.8,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2024,47.9,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2025,48.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC3,OLDAGEDEPR,2026,48.6,e,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2015,34,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2016,34.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2017,35,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2018,35.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2019,35.6,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2020,35.9,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2021,35.9,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2022,36.4,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2023,36.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2024,36.8,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2025,37.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITC4,OLDAGEDEPR,2026,37.8,e,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2015,29.2,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2016,29.6,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2017,29.9,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2018,30.1,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2019,30.4,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2020,30.7,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2021,30.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2022,31.1,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2023,31.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2024,32,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2025,32.8,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD1,OLDAGEDEPR,2026,33.6,e,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2015,32.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2016,33,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2017,33.6,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2018,34.1,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2019,34.7,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2020,35.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2021,35.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2022,36.1,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2023,36.7,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2024,37.4,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2025,38.2,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD2,OLDAGEDEPR,2026,39,e,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2015,33.8,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2016,34.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2017,35,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2018,35.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2019,35.9,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2020,36.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2021,36.8,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2022,37.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2023,37.9,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2024,38.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2025,39.3,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD3,OLDAGEDEPR,2026,40.1,e,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2015,40.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2016,41.2,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2017,41.7,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2018,42.1,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2019,42.5,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2020,43,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2021,43.1,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2022,43.4,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2023,43.6,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2024,44,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2025,44.7,,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITD4,OLDAGEDEPR,2026,45.3,e,,,TIPO_DATO15__OLDAGEDEPR_N1,,,
