candidate_id;discovered_at;source_kind;dataflow_id;name;territory_hint;priority_score;reason;triage_status;triage_notes
istat_sdmx:11_111_DF_DCSC_RESID_CONSTR_8;2026-07-25T12:09:08.038873+00:00;istat_sdmx;11_111_DF_DCSC_RESID_CONSTR_8;Abitazioni in fabbricati residenziali nuovi per numero di stanze e superficie utile abitabile - ripartizioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:DF_DCSS_HUDW_3_PROV;2026-07-25T12:09:08.038873+00:00;istat_sdmx;DF_DCSS_HUDW_3_PROV;Abitazioni occupate da almeno una persona residente per classi di superficie e numero di occupanti - regioni e province;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:DF_DCSS_HUDW_4_PROV;2026-07-25T12:09:08.038873+00:00;istat_sdmx;DF_DCSS_HUDW_4_PROV;Abitazioni occupate da almeno una persona residente per densità abitativa - regioni e province;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:DF_DCSS_HUDW_5_PROV;2026-07-25T12:09:08.038873+00:00;istat_sdmx;DF_DCSS_HUDW_5_PROV;Abitazioni occupate da almeno una persona residente per tipo di impianto di riscaldamento - regioni e province;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:DF_DCSS_HUDW_2_PROV;2026-07-25T12:09:08.038873+00:00;istat_sdmx;DF_DCSS_HUDW_2_PROV;Abitazioni per epoca di costruzione e stato di occupazione - regioni e province;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:43_98_DF_DCIS_RSERVSAN_4;2026-07-25T12:09:08.038873+00:00;istat_sdmx;43_98_DF_DCIS_RSERVSAN_4;Accertamenti diagnostici - valori standardizzati e regionali;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:22_222_DF_DCSC_NONRESID_CONSTR_10;2026-07-25T12:09:08.038873+00:00;istat_sdmx;22_222_DF_DCSC_NONRESID_CONSTR_10;Ampliamenti di fabbricati non residenziali con o senza sopraelevazione - ripartizioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:11_111_DF_DCSC_RESID_CONSTR_13;2026-07-25T12:09:08.038873+00:00;istat_sdmx;11_111_DF_DCSC_RESID_CONSTR_13;Ampliamenti di fabbricati residenziali con o senza sopraelevazione - ripartizioni e e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:DF_DCSE_CPA_ATECO2007_COE_A_Q_CONJ_REG;2026-07-25T12:09:08.038873+00:00;istat_sdmx;DF_DCSE_CPA_ATECO2007_COE_A_Q_CONJ_REG;CPA Ateco 2007 dati annuali e trimestrali a livello regionale;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:DF_DCSE_CPA_AT2007_COE_OPT_A_REG_ALL_REG;2026-07-25T12:09:08.038873+00:00;istat_sdmx;DF_DCSE_CPA_AT2007_COE_OPT_A_REG_ALL_REG;CPAteco 2007 dato annuale a livello provinciale - dal 1991 - Regioni;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
