territorio,anno,valore
Italia,2004,20.8
Italia,2005,22.8
Italia,2006,23.0
Italia,2007,24.1
Italia,2008,28.4
Italia,2009,28.6
Italia,2010,27.8
Italia,2011,28.4
Italia,2012,29.9
Italia,2013,28.5
Italia,2014,28.2
Italia,2015,32.4
Italia,2016,31.5
Italia,2017,34.5
Italia,2018,33.2
Italia,2019,33.9
Italia,2020,35.6
Italia,2021,33.1
Italia,2022,35.3
Nord,2004,22.7
Nord,2005,24.6
Nord,2006,25.0
Nord,2007,25.6
Nord,2008,30.8
Nord,2009,30.9
Nord,2010,30.2
Nord,2011,30.8
Nord,2012,31.8
Nord,2013,30.9
Nord,2014,30.1
Nord,2015,34.3
Nord,2016,34.2
Nord,2017,36.1
Nord,2018,36.0
Nord,2019,36.3
Nord,2020,39.7
Nord,2021,33.7
Nord,2022,37.3
Centro,2004,19.9
Centro,2005,21.8
Centro,2006,21.6
Centro,2007,22.9
Centro,2008,26.9
Centro,2009,27.0
Centro,2010,26.6
Centro,2011,26.7
Centro,2012,28.4
Centro,2013,26.3
Centro,2014,26.4
Centro,2015,31.0
Centro,2016,30.0
Centro,2017,33.8
Centro,2018,31.4
Centro,2019,32.3
Centro,2020,32.8
Centro,2021,32.8
Centro,2022,35.2
Mezzogiorno,2004,17.8
Mezzogiorno,2005,20.1
Mezzogiorno,2006,20.2
Mezzogiorno,2007,21.9
Mezzogiorno,2008,25.1
Mezzogiorno,2009,25.7
Mezzogiorno,2010,24.7
Mezzogiorno,2011,25.7
Mezzogiorno,2012,27.7
Mezzogiorno,2013,26.1
Mezzogiorno,2014,26.3
Mezzogiorno,2015,30.2
Mezzogiorno,2016,27.9
Mezzogiorno,2017,32.1
Mezzogiorno,2018,29.9
Mezzogiorno,2019,31.0
Mezzogiorno,2020,30.7
Mezzogiorno,2021,32.2
Mezzogiorno,2022,32.2
