territorio,anno,valore
Italia,2015,2.2
Italia,2016,2.5
Italia,2017,2.6
Italia,2018,2.8
Italia,2019,2.9
Italia,2020,2.9
Italia,2021,3.0
Italia,2022,3.3
Italia,2023,3.8
Italia,2024,4.4
Nord,2015,2.6
Nord,2016,2.8
Nord,2017,2.9
Nord,2018,3.0
Nord,2019,3.1
Nord,2020,3.0
Nord,2021,3.1
Nord,2022,3.3
Nord,2023,4.0
Nord,2024,4.1
Centro,2015,1.8
Centro,2016,2.0
Centro,2017,2.2
Centro,2018,2.6
Centro,2019,2.7
Centro,2020,2.8
Centro,2021,3.2
Centro,2022,3.6
Centro,2023,4.2
Centro,2024,5.4
Mezzogiorno,2015,2.0
Mezzogiorno,2016,2.3
Mezzogiorno,2017,2.5
Mezzogiorno,2018,2.8
Mezzogiorno,2019,2.8
Mezzogiorno,2020,2.6
Mezzogiorno,2021,2.7
Mezzogiorno,2022,2.9
Mezzogiorno,2023,3.4
Mezzogiorno,2024,4.3
