territorio,anno,valore
Italia,2009,71.1
Italia,2010,70.1
Italia,2011,65.1
Italia,2012,62.5
Italia,2013,63.3
Italia,2014,65.7
Italia,2015,64.4
Italia,2016,68.2
Italia,2017,68.2
Italia,2018,69.6
Italia,2019,70.5
Italia,2020,69.6
Italia,2021,70.1
Italia,2022,69.1
Italia,2023,72.2
Nord,2009,102.3
Nord,2010,100.3
Nord,2011,94.7
Nord,2012,93.4
Nord,2013,91.4
Nord,2014,91.2
Nord,2015,91.0
Nord,2016,95.8
Nord,2017,96.6
Nord,2018,99.0
Nord,2019,99.5
Nord,2020,97.4
Nord,2021,98.5
Nord,2022,98.0
Nord,2023,100.6
Centro,2009,54.8
Centro,2010,53.1
Centro,2011,51.5
Centro,2012,46.5
Centro,2013,48.1
Centro,2014,54.0
Centro,2015,52.9
Centro,2016,56.4
Centro,2017,53.8
Centro,2018,55.0
Centro,2019,55.8
Centro,2020,56.1
Centro,2021,56.5
Centro,2022,56.1
Centro,2023,60.0
Mezzogiorno,2009,39.3
Mezzogiorno,2010,39.6
Mezzogiorno,2011,33.8
Mezzogiorno,2012,30.5
Mezzogiorno,2013,34.6
Mezzogiorno,2014,38.6
Mezzogiorno,2015,36.3
Mezzogiorno,2016,38.2
Mezzogiorno,2017,38.5
Mezzogiorno,2018,38.6
Mezzogiorno,2019,39.3
Mezzogiorno,2020,39.1
Mezzogiorno,2021,39.2
Mezzogiorno,2022,37.0
Mezzogiorno,2023,38.8
