territorio,anno,valore,alunni,stranieri
Abruzzo,2018,7.49,11576,867
Basilicata,2018,4.03,5311,214
Calabria,2018,4.4,18789,827
Campania,2018,2.55,65402,1667
Emilia-Romagna,2018,15.11,39780,6012
Friuli-Venezia Giulia,2018,10.85,10390,1127
Lazio,2018,9.63,53326,5133
Liguria,2018,12.42,12755,1584
Lombardia,2018,14.35,94397,13543
Marche,2018,10.7,13780,1474
Molise,2018,3.55,2588,92
Piemonte,2018,12.8,38507,4927
Puglia,2018,2.81,40812,1147
Sardegna,2018,2.87,13736,394
Sicilia,2018,3.67,51812,1904
Toscana,2018,13.85,33126,4588
Umbria,2018,13.72,7829,1074
Veneto,2018,12.56,47297,5940
Abruzzo,2025,8.83,11115,982
Basilicata,2025,5.32,4381,233
Calabria,2025,5.34,16651,889
Campania,2025,4.21,55777,2347
Emilia-Romagna,2025,15.81,40826,6453
Friuli-Venezia Giulia,2025,13.1,10150,1330
Lazio,2025,10.77,52742,5682
Liguria,2025,16.08,12251,1970
Lombardia,2025,15.73,94972,14942
Marche,2025,10.74,13746,1477
Molise,2025,3.36,2230,75
Piemonte,2025,14.12,37749,5331
Puglia,2025,3.62,35401,1280
Sardegna,2025,3.04,12834,390
Sicilia,2025,4.56,45243,2062
Toscana,2025,14.74,32259,4756
Umbria,2025,12.39,7614,943
Veneto,2025,13.54,44918,6081
