code;name;parent
ATFT_VAXPE_LU_RT_EURTH;Valore aggiunto per addetto delle unità locali (produttività apparente del lavoro);
ATFT_LCXDE_LUDE_RT_EURTH;Costo del lavoro per dipendente delle unità locali;
ATFT_VAXPEJLCXDE_LUDE_RT_PCT;Valore aggiunto per addetto in % del costo del lavoro per dipendente delle unità locali con dipendenti;
AIATFIFT_GOSADJXPE_LU_RT_EURTH;Margine operativo lordo corretto per addetto nelle unità locali;
ATFT_GOSXTURN_LU_RT_PCT;Margine operativo lordo su fatturato delle unità locali;
ATFT_GOSXVA_LU_RT_PCT;Margine operativo lordo su valore aggiunto delle unità locali;
ATFT_TURNXTC_LU_RT_PCT;Fatturato su costi della produzione delle unità locali;
ATFT_VAXLC_LUDE_RT_PCT;Valore aggiunto su costo del lavoro nelle unità locali con dipendenti;
ATFT_VAXTURN_LU_RT_PCT;Valore aggiunto su fatturato delle unità locali;
AT_IEXPE_LU_SH_PCT;Quota degli indipendenti sul totale degli addetti delle unità locali;
AIAT_MICLUXLU_LU_SH_PCT;Incidenza delle unità locali di microimprese;
AIAT_MICPEXPE_LU_SH_PCT;Incidenza delle unità locali di microimprese in termini di addetti;
AIATFT_MICTURNXTURN_LU_SH_PCT;Incidenza delle unità locali di microimprese in termini di fatturato;
AIATFT_MICROVAXVA_LU_SH_PCT;Incidenza delle unità locali di microimprese in termini di valore aggiunto;
ATFT_LUDEXLU_LU_SH_PCT;Incidenza delle unità locali con dipendenti;
ATFT_PELUDEXPE_LU_SH_PCT;Incidenza delle unità locali con dipendenti in termini di addetti;
ATFT_TURNLUDEXTURN_LU_SH_PCT;Incidenza delle unità locali con dipendenti in termini di fatturato;
ATFT_VALUDEXVA_LU_SH_PCT;Incidenza delle unità locali con dipendenti in termini di valore aggiunto;
AIATFT_LU11XLU_LU_SH_PCT;Incidenza delle unità locali di imprese individuali;
AIATFT_PE11XPE_LU_SH_PCT;Incidenza delle unità locali di imprese individuali in termini di addetti;
AIATFT_TURN11XTURN_LU_SH_PCT;Incidenza delle unità locali di imprese individuali in termini di fatturato;
AIATFT_VA11XVA_LU_SH_PCT;Incidenza delle unità locali di imprese individuali in termini di valore aggiunto;
